FileName,AU06,AU10,AU12,AU14,AU17
1,0,1,1,1,0
2,0,1,1,1,0
3,0,1,1,1,0
4,0,1,1,1,0
5,0,1,1,1,1
6,0,1,1,1,1
7,0,1,1,1,1
8,0,1,1,1,1
9,0,1,1,1,1
10,0,1,1,1,1
11,0,1,1,1,1
12,0,1,1,1,1
13,0,1,1,1,1
14,0,1,1,1,1
15,0,1,1,1,1
16,0,1,1,1,1
17,0,1,1,1,1
18,0,1,1,1,0
19,0,1,1,1,0
20,0,1,1,1,0
21,0,1,1,1,0
22,0,1,1,1,0
23,0,1,1,1,0
24,0,1,1,1,0
25,0,1,1,1,0
26,0,1,1,1,0
27,0,1,1,1,0
28,0,1,1,1,0
29,0,1,1,1,0
30,0,1,1,1,0
31,0,1,1,1,0
32,0,1,1,1,0
33,0,1,1,1,0
34,0,1,1,1,0
35,0,1,1,1,0
36,0,1,1,1,0
37,0,1,1,1,0
38,0,1,1,1,0
39,0,1,1,1,0
40,0,1,1,1,0
41,0,1,1,1,0
42,0,1,1,1,0
43,0,1,1,1,0
44,0,1,1,1,0
45,0,1,1,1,0
46,0,1,1,1,0
47,0,1,1,1,0
48,0,1,1,1,0
49,0,1,1,1,0
50,0,1,1,1,0
51,0,1,1,1,0
52,0,1,1,1,1
53,0,1,1,1,1
54,0,1,1,1,1
55,0,1,1,1,1
56,0,1,1,1,1
57,0,1,1,1,1
58,0,1,1,1,1
59,0,1,1,1,1
60,0,1,1,1,1
61,1,1,1,1,1
62,1,1,1,1,1
63,1,1,1,1,1
64,1,1,1,1,1
65,1,1,1,1,1
66,1,1,1,1,1
67,1,1,1,1,1
68,1,1,1,1,1
69,1,1,1,1,1
70,1,1,1,1,1
71,1,1,1,1,1
72,1,1,1,1,1
73,1,1,1,1,1
74,1,1,1,1,1
75,1,1,1,1,1
76,1,1,1,1,1
77,1,1,1,1,1
78,1,1,1,1,1
79,1,1,1,1,1
80,1,1,1,1,1
81,1,1,1,1,1
82,1,1,1,1,1
83,1,1,1,1,1
84,1,1,1,1,1
85,1,1,1,1,1
86,1,1,1,1,1
87,1,1,1,1,1
88,1,1,1,1,1
89,1,1,1,1,1
90,1,1,1,1,1
91,1,1,1,1,1
92,1,1,1,1,1
93,1,1,1,1,1
94,1,1,1,1,1
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,1,1,1
98,1,1,1,1,1
99,1,1,1,1,1
100,1,1,1,1,1
101,1,1,1,1,1
102,1,1,1,1,1
103,1,1,1,1,1
104,1,1,1,1,1
105,1,1,1,1,1
106,1,1,1,1,1
107,1,1,1,1,1
108,1,1,1,1,1
109,1,1,1,1,1
110,1,1,1,1,1
111,1,1,1,1,1
112,1,1,1,1,1
113,1,1,1,1,1
114,1,1,1,1,1
115,1,1,1,1,1
116,1,1,1,1,1
117,1,1,1,1,1
118,1,1,1,1,1
119,1,1,1,1,1
120,1,1,1,1,1
121,1,1,1,1,1
122,1,1,1,1,1
123,1,1,1,1,1
124,1,1,1,1,1
125,1,1,1,1,1
126,1,1,1,1,1
127,1,1,1,1,1
128,1,1,1,1,1
129,1,1,1,1,1
130,1,1,1,1,1
131,1,1,1,1,1
132,1,1,1,1,1
133,1,1,1,1,1
134,1,1,1,1,1
135,1,1,1,1,1
136,1,1,1,1,1
137,1,1,1,1,1
138,1,1,1,1,0
139,1,1,1,1,0
140,1,1,1,1,0
141,1,1,1,1,0
142,1,1,1,1,0
143,1,1,1,1,0
144,1,1,1,1,0
