FileName,AU06,AU10,AU12,AU14,AU17
747,0,1,0,0,0
748,0,1,0,0,0
749,0,1,0,0,0
750,0,1,0,0,0
751,0,1,0,0,0
752,0,1,0,0,0
753,0,1,0,0,0
754,0,1,0,0,0
755,0,1,0,0,0
756,0,1,0,0,0
757,0,1,0,0,0
758,0,1,0,0,0
759,0,1,0,0,0
760,0,1,0,0,0
761,0,1,0,0,0
762,0,1,0,0,0
763,0,1,0,0,0
764,0,1,0,0,0
765,0,1,0,0,0
766,0,1,0,0,0
767,0,1,0,0,0
768,0,1,0,0,0
769,0,1,0,0,0
770,0,1,0,0,0
771,0,1,0,0,0
772,0,1,0,0,0
773,0,1,0,0,0
774,0,1,0,0,0
775,0,1,0,0,0
776,0,1,0,0,0
777,0,1,0,0,0
778,0,1,0,0,0
779,0,1,0,0,0
780,0,1,0,0,0
781,0,1,0,0,0
782,0,1,0,0,0
783,0,1,0,0,0
784,0,1,0,0,0
785,0,1,0,0,0
786,0,1,0,0,0
787,0,1,0,0,0
788,0,1,0,0,0
789,0,1,0,0,0
790,0,1,0,0,0
791,0,1,0,0,0
792,0,1,0,0,0
793,0,1,0,0,0
794,0,1,0,0,0
795,0,1,0,0,0
796,0,1,0,0,0
797,0,1,0,0,0
798,0,1,0,0,0
799,0,1,0,0,0
800,0,1,0,0,0
801,0,1,0,0,0
802,0,1,0,0,0
803,0,1,0,0,0
804,0,1,0,0,0
805,0,1,0,0,0
806,0,1,0,0,0
807,0,1,0,0,0
808,0,1,0,0,0
809,0,1,0,0,0
810,0,1,0,0,0
811,0,1,0,0,0
812,0,1,0,0,0
813,0,1,0,0,0
814,0,1,0,0,0
815,0,1,0,0,0
816,0,1,0,0,0
817,0,1,0,0,0
818,0,1,0,0,0
819,0,1,0,0,0
820,0,1,0,0,0
821,0,1,0,0,0
822,0,1,0,0,0
823,0,1,0,0,0
824,0,1,0,0,0
825,0,1,0,0,0
826,0,1,0,0,0
827,0,1,0,0,0
